time,avg_roam_time_min,area_to_destroy_12.4min,area_to_destroy_24.8min,area_to_destroy_30.0min,missiles_remaining,mated_missiles_remaining,retaliation_prob
2021/01/20-12:32,8.6,"69,771","170,811","226,870",43,43,1.0000
2021/01/20-12:33,6.4,"54,251","146,841","199,358",44,44,1.0000
2021/01/20-12:34,7.1,"59,126","154,601","208,328",45,45,1.0000
2021/01/20-12:35,7.9,"64,234","162,594","217,531",45,45,1.0000
2021/01/20-12:36,7.9,"64,418","162,624","217,495",42,42,1.0000
2021/01/20-12:37,8.7,"69,800","170,942","227,045",43,43,1.0000
2021/01/20-12:38,6.7,"56,488","150,366","203,423",44,44,1.0000
2021/01/20-12:39,7.5,"61,521","158,335","212,624",45,45,1.0000
2021/01/20-12:40,8.3,"66,898","166,752","222,315",46,46,1.0000
2021/01/20-12:41,8.1,"65,808","164,786","219,982",42,42,1.0000
2021/01/20-12:42,8.9,"71,264","173,230","229,679",44,44,1.0000
2021/01/20-12:43,6.6,"55,676","149,296","202,245",45,45,1.0000
2021/01/20-12:44,7.4,"60,721","157,329","211,531",46,46,1.0000
2021/01/20-12:45,8.2,"65,915","165,460","220,894",46,46,1.0000
2021/01/20-12:46,8.0,"64,834","163,452","218,497",43,43,1.0000
2021/01/20-12:47,8.8,"70,191","171,745","228,021",44,44,1.0000
2021/01/20-12:48,6.7,"56,252","150,078","203,114",45,45,1.0000
2021/01/20-12:49,7.5,"61,264","158,027","212,294",46,46,1.0000
2021/01/20-12:50,8.3,"66,512","166,212","221,710",46,46,1.0000
2021/01/20-12:51,8.2,"66,788","166,333","221,766",43,43,1.0000
2021/01/20-12:52,9.0,"72,261","174,743","231,407",44,44,1.0000
2021/01/20-12:53,6.8,"56,624","150,708","203,851",45,45,1.0000
2021/01/20-12:54,7.6,"61,656","158,677","213,052",46,46,1.0000
2021/01/20-12:55,8.3,"66,926","166,883","222,489",46,46,1.0000
2021/01/20-12:56,8.3,"67,222","167,025","222,566",43,43,1.0000
2021/01/20-12:57,9.1,"72,716","175,455","232,228",44,44,1.0000
2021/01/20-12:58,6.6,"55,672","149,241","202,168",45,45,1.0000
2021/01/20-12:59,7.4,"60,663","157,169","211,328",46,46,1.0000
2021/01/20-13:00,8.2,"65,891","165,333","220,724",46,46,1.0000
2021/01/20-13:01,8.0,"64,844","163,358","218,359",42,42,1.0000
2021/01/20-13:02,8.8,"70,233","171,685","227,917",43,43,1.0000
2021/01/20-13:03,6.5,"54,721","147,774","200,486",45,45,1.0000
2021/01/20-13:04,7.3,"59,670","155,661","209,603",46,46,1.0000
2021/01/20-13:05,8.1,"64,857","163,784","218,958",46,46,1.0000
2021/01/20-13:06,7.8,"63,767","161,767","216,552",42,42,1.0000
2021/01/20-13:07,8.6,"69,116","170,052","226,069",43,43,1.0000
2021/01/20-13:08,6.7,"56,148","149,974","203,010",45,45,1.0000
2021/01/20-13:09,7.5,"61,160","157,923","212,190",46,46,1.0000
2021/01/20-13:10,8.3,"66,409","166,108","221,606",46,46,1.0000
2021/01/20-13:11,8.1,"65,869","164,951","220,190",42,42,1.0000
2021/01/20-13:12,8.9,"71,359","173,428","229,920",44,44,1.0000
