time,avg_roam_time_min,area_to_destroy_12.4min,area_to_destroy_24.8min,area_to_destroy_30.0min,missiles_remaining,mated_missiles_remaining,retaliation_prob
2021/01/20-12:27,6.2,"16,933","42,114","56,124",0,0,0.0000
2021/01/20-12:28,7.0,"18,516","44,615","59,010",2,2,0.0000
2021/01/20-12:29,7.7,"20,173","47,189","61,969",4,4,0.0020
2021/01/20-12:30,8.5,"21,904","49,838","65,002",6,5,0.0117
2021/01/20-12:31,6.4,"17,304","43,267","57,733",0,0,0.0000
2021/01/20-12:32,6.3,"17,110","43,056","57,515",0,0,0.0000
2021/01/20-12:33,7.1,"18,703","45,567","60,410",4,2,0.0000
2021/01/20-12:34,7.8,"20,369","48,151","63,379",6,3,0.0001
2021/01/20-12:35,8.6,"22,110","50,809","66,422",8,5,0.0117
2021/01/20-12:36,6.5,"17,653","43,738","58,255",1,1,0.0000
2021/01/20-12:37,7.2,"19,257","46,260","61,161",2,2,0.0000
2021/01/20-12:38,7.9,"20,935","48,855","64,142",6,4,0.0020
2021/01/20-12:39,8.7,"22,687","51,525","67,196",8,5,0.0117
2021/01/20-12:40,9.4,"24,621","54,699","70,954",9,6,0.0384
2021/01/20-12:41,6.7,"18,639","45,306","60,130",1,1,0.0000
2021/01/20-12:42,7.3,"20,053","47,499","62,650",2,2,0.0000
2021/01/20-12:43,8.0,"21,741","50,104","65,640",5,4,0.0020
2021/01/20-12:44,8.8,"23,502","52,783","68,704",7,5,0.0117
2021/01/20-12:45,9.5,"25,338","55,537","71,842",9,6,0.0384
2021/01/20-12:46,7.5,"20,512","48,200","63,453",3,2,0.0000
2021/01/20-12:47,8.2,"22,113","50,650","66,259",5,3,0.0001
2021/01/20-12:48,8.9,"23,889","53,343","69,337",7,4,0.0020
2021/01/20-12:49,9.6,"25,739","56,110","72,489",9,4,0.0020
2021/01/20-12:50,10.4,"27,662","58,952","75,715",11,5,0.0117
2021/01/20-12:51,7.8,"21,712","50,120","65,739",4,3,0.0001
2021/01/20-12:52,8.5,"23,398","52,689","68,679",5,3,0.0001
2021/01/20-12:53,9.2,"25,209","55,418","71,792",8,4,0.0020
2021/01/20-12:54,10.0,"27,093","58,220","74,979",10,5,0.0117
2021/01/20-12:55,10.7,"29,070","61,131","78,282",11,6,0.0384
2021/01/20-12:56,7.1,"19,853","47,361","62,603",2,1,0.0000
2021/01/20-12:57,5.7,"15,946","41,366","55,668",0,0,0.0000
2021/01/20-12:58,6.4,"17,470","43,808","58,495",1,1,0.0000
2021/01/20-12:59,7.1,"19,069","46,324","61,395",3,2,0.0000
2021/01/20-13:00,7.9,"20,741","48,914","64,370",5,4,0.0020
2021/01/20-13:01,5.8,"15,980","41,303","55,500",0,0,0.0000
2021/01/20-13:02,6.2,"16,556","42,260","56,617",0,0,0.0000
2021/01/20-13:03,6.9,"18,147","44,786","59,535",4,2,0.0000
2021/01/20-13:04,7.7,"19,814","47,388","62,529",5,2,0.0000
2021/01/20-13:05,8.4,"21,556","50,065","65,598",8,2,0.0000
2021/01/20-13:06,6.1,"16,826","42,512","56,862",0,0,0.0000
2021/01/20-13:07,6.9,"18,416","45,037","59,779",1,0,0.0000
2021/01/20-13:08,7.4,"19,476","46,416","61,228",4,2,0.0000
2021/01/20-13:09,8.1,"21,175","49,033","64,229",6,3,0.0001
2021/01/20-13:10,8.9,"22,948","51,723","67,305",8,3,0.0001
2021/01/20-13:11,7.0,"18,724","45,144","59,738",2,2,0.0000
2021/01/20-13:12,7.6,"20,161","47,361","62,281",4,2,0.0000
2021/01/20-13:13,8.2,"21,607","49,282","64,337",5,3,0.0001
2021/01/20-13:14,9.0,"23,392","51,983","67,424",8,6,0.0384
2021/01/20-13:15,9.7,"25,250","54,759","70,584",10,8,0.1730
2021/01/20-13:16,8.0,"21,540","48,920","63,852",4,2,0.0000
2021/01/20-13:17,8.5,"22,801","50,822","66,022",5,3,0.0001
2021/01/20-13:18,9.3,"24,613","53,551","69,137",7,5,0.0117
2021/01/20-13:19,10.0,"26,499","56,355","72,325",10,8,0.1730
2021/01/20-13:20,10.7,"28,459","59,232","75,588",11,7,0.0901
2021/01/20-13:21,5.7,"15,738","40,278","54,019",0,0,0.0000
2021/01/20-13:22,6.4,"17,208","42,631","56,743",0,0,0.0000
2021/01/20-13:23,7.2,"18,828","45,187","59,690",4,2,0.0000
2021/01/20-13:24,7.9,"20,524","47,818","62,713",5,3,0.0001
2021/01/20-13:25,8.7,"22,296","50,524","65,812",7,3,0.0001
2021/01/20-13:26,6.4,"17,399","42,805","56,910",0,0,0.0000
2021/01/20-13:27,5.5,"15,123","39,421","53,060",0,0,0.0000
2021/01/20-13:28,6.3,"16,652","41,885","55,917",1,0,0.0000
2021/01/20-13:29,7.0,"18,257","44,425","58,849",2,0,0.0000
2021/01/20-13:30,7.8,"19,938","47,041","61,857",5,3,0.0001
2021/01/20-13:31,6.1,"16,510","41,518","55,456",0,0,0.0000
